date,fuel_type,price_npr,source
2021-06-19,kerosene,86,NOC historical seed
2021-06-19,lpg,1375,NOC historical seed
2021-06-19,petrol,115,NOC historical seed
2021-06-20,diesel,100,NOC historical seed
2021-06-20,kerosene,86,NOC historical seed
2021-06-20,lpg,1375,NOC historical seed
2021-06-20,petrol,115,NOC historical seed
2021-06-21,diesel,100,NOC historical seed
2021-06-21,kerosene,86,NOC historical seed
2021-06-21,lpg,1375,NOC historical seed
2021-06-21,petrol,115,NOC historical seed
2021-06-22,diesel,100,NOC historical seed
2021-06-22,kerosene,86,NOC historical seed
2021-06-22,lpg,1375,NOC historical seed
2021-06-22,petrol,115,NOC historical seed
2021-06-23,diesel,100,NOC historical seed
2021-06-23,kerosene,86,NOC historical seed
2021-06-23,lpg,1375,NOC historical seed
2021-06-23,petrol,115,NOC historical seed
2021-06-24,diesel,100,NOC historical seed
2021-06-24,kerosene,86,NOC historical seed
2021-06-24,lpg,1375,NOC historical seed
2021-06-24,petrol,115,NOC historical seed
2021-06-25,diesel,100,NOC historical seed
2021-06-25,kerosene,86,NOC historical seed
2021-06-25,lpg,1375,NOC historical seed
2021-06-25,petrol,115,NOC historical seed
2021-06-26,diesel,100,NOC historical seed
2021-06-26,kerosene,86,NOC historical seed
2021-06-26,lpg,1375,NOC historical seed
2021-06-26,petrol,115,NOC historical seed
2021-06-27,diesel,100,NOC historical seed
2021-06-27,kerosene,86,NOC historical seed
2021-06-27,lpg,1375,NOC historical seed
2021-06-27,petrol,115,NOC historical seed
2021-06-28,diesel,100,NOC historical seed
2021-06-28,kerosene,86,NOC historical seed
2021-06-28,lpg,1375,NOC historical seed
2021-06-28,petrol,115,NOC historical seed
2021-06-29,diesel,100,NOC historical seed
2021-06-29,kerosene,86,NOC historical seed
2021-06-29,lpg,1375,NOC historical seed
2021-06-29,petrol,115,NOC historical seed
2021-06-30,diesel,100,NOC historical seed
2021-06-30,kerosene,86,NOC historical seed
2021-06-30,lpg,1375,NOC historical seed
2021-06-30,petrol,115,NOC historical seed
2021-07-01,diesel,103,NOC historical seed
2021-07-01,kerosene,88,NOC historical seed
2021-07-01,lpg,1375,NOC historical seed
2021-07-01,petrol,118,NOC historical seed
2021-07-02,diesel,103,NOC historical seed
2021-07-02,kerosene,88,NOC historical seed
2021-07-02,lpg,1375,NOC historical seed
2021-07-02,petrol,118,NOC historical seed
2021-07-03,diesel,103,NOC historical seed
2021-07-03,kerosene,88,NOC historical seed
2021-07-03,lpg,1375,NOC historical seed
2021-07-03,petrol,118,NOC historical seed
2021-07-04,diesel,103,NOC historical seed
2021-07-04,kerosene,88,NOC historical seed
2021-07-04,lpg,1375,NOC historical seed
2021-07-04,petrol,118,NOC historical seed
2021-07-05,diesel,103,NOC historical seed
2021-07-05,kerosene,88,NOC historical seed
2021-07-05,lpg,1375,NOC historical seed
2021-07-05,petrol,118,NOC historical seed
2021-07-06,diesel,103,NOC historical seed
2021-07-06,kerosene,88,NOC historical seed
2021-07-06,lpg,1375,NOC historical seed
2021-07-06,petrol,118,NOC historical seed
2021-07-07,diesel,103,NOC historical seed
2021-07-07,kerosene,88,NOC historical seed
2021-07-07,lpg,1375,NOC historical seed
2021-07-07,petrol,118,NOC historical seed
2021-07-08,diesel,103,NOC historical seed
2021-07-08,kerosene,88,NOC historical seed
2021-07-08,lpg,1375,NOC historical seed
2021-07-08,petrol,118,NOC historical seed
2021-07-09,diesel,103,NOC historical seed
2021-07-09,kerosene,88,NOC historical seed
2021-07-09,lpg,1375,NOC historical seed
2021-07-09,petrol,118,NOC historical seed
2021-07-10,diesel,103,NOC historical seed
2021-07-10,kerosene,88,NOC historical seed
2021-07-10,lpg,1375,NOC historical seed
2021-07-10,petrol,118,NOC historical seed
2021-07-11,diesel,103,NOC historical seed
2021-07-11,kerosene,88,NOC historical seed
2021-07-11,lpg,1375,NOC historical seed
2021-07-11,petrol,118,NOC historical seed
2021-07-12,diesel,103,NOC historical seed
2021-07-12,kerosene,88,NOC historical seed
2021-07-12,lpg,1375,NOC historical seed
2021-07-12,petrol,118,NOC historical seed
2021-07-13,diesel,103,NOC historical seed
2021-07-13,kerosene,88,NOC historical seed
2021-07-13,lpg,1375,NOC historical seed
2021-07-13,petrol,118,NOC historical seed
2021-07-14,diesel,103,NOC historical seed
2021-07-14,kerosene,88,NOC historical seed
2021-07-14,lpg,1375,NOC historical seed
2021-07-14,petrol,118,NOC historical seed
2021-07-15,diesel,103,NOC historical seed
2021-07-15,kerosene,88,NOC historical seed
2021-07-15,lpg,1375,NOC historical seed
2021-07-15,petrol,118,NOC historical seed
2021-07-16,diesel,103,NOC historical seed
2021-07-16,kerosene,88,NOC historical seed
2021-07-16,lpg,1375,NOC historical seed
2021-07-16,petrol,118,NOC historical seed
2021-07-17,diesel,103,NOC historical seed
2021-07-17,kerosene,88,NOC historical seed
2021-07-17,lpg,1375,NOC historical seed
2021-07-17,petrol,118,NOC historical seed
2021-07-18,diesel,103,NOC historical seed
2021-07-18,kerosene,88,NOC historical seed
2021-07-18,lpg,1375,NOC historical seed
2021-07-18,petrol,118,NOC historical seed
2021-07-19,diesel,103,NOC historical seed
2021-07-19,kerosene,88,NOC historical seed
2021-07-19,lpg,1375,NOC historical seed
2021-07-19,petrol,118,NOC historical seed
2021-07-20,diesel,103,NOC historical seed
2021-07-20,kerosene,88,NOC historical seed
2021-07-20,lpg,1375,NOC historical seed
2021-07-20,petrol,118,NOC historical seed
2021-07-21,diesel,103,NOC historical seed
2021-07-21,kerosene,88,NOC historical seed
2021-07-21,lpg,1375,NOC historical seed
2021-07-21,petrol,118,NOC historical seed
2021-07-22,diesel,103,NOC historical seed
2021-07-22,kerosene,88,NOC historical seed
2021-07-22,lpg,1375,NOC historical seed
2021-07-22,petrol,118,NOC historical seed
2021-07-23,diesel,103,NOC historical seed
2021-07-23,kerosene,88,NOC historical seed
2021-07-23,lpg,1375,NOC historical seed
2021-07-23,petrol,118,NOC historical seed
2021-07-24,diesel,103,NOC historical seed
2021-07-24,kerosene,88,NOC historical seed
2021-07-24,lpg,1375,NOC historical seed
2021-07-24,petrol,118,NOC historical seed
2021-07-25,diesel,103,NOC historical seed
2021-07-25,kerosene,88,NOC historical seed
2021-07-25,lpg,1375,NOC historical seed
2021-07-25,petrol,118,NOC historical seed
2021-07-26,diesel,103,NOC historical seed
2021-07-26,kerosene,88,NOC historical seed
2021-07-26,lpg,1375,NOC historical seed
2021-07-26,petrol,118,NOC historical seed
2021-07-27,diesel,103,NOC historical seed
2021-07-27,kerosene,88,NOC historical seed
2021-07-27,lpg,1375,NOC historical seed
2021-07-27,petrol,118,NOC historical seed
2021-07-28,diesel,103,NOC historical seed
2021-07-28,kerosene,88,NOC historical seed
2021-07-28,lpg,1375,NOC historical seed
2021-07-28,petrol,118,NOC historical seed
2021-07-29,diesel,103,NOC historical seed
2021-07-29,kerosene,88,NOC historical seed
2021-07-29,lpg,1375,NOC historical seed
2021-07-29,petrol,118,NOC historical seed
2021-07-30,diesel,103,NOC historical seed
2021-07-30,kerosene,88,NOC historical seed
2021-07-30,lpg,1375,NOC historical seed
2021-07-30,petrol,118,NOC historical seed
2021-07-31,diesel,103,NOC historical seed
2021-07-31,kerosene,88,NOC historical seed
2021-07-31,lpg,1375,NOC historical seed
2021-07-31,petrol,118,NOC historical seed
2021-08-01,diesel,103,NOC historical seed
2021-08-01,kerosene,88,NOC historical seed
2021-08-01,lpg,1375,NOC historical seed
2021-08-01,petrol,118,NOC historical seed
2021-08-02,diesel,103,NOC historical seed
2021-08-02,kerosene,88,NOC historical seed
2021-08-02,lpg,1375,NOC historical seed
2021-08-02,petrol,118,NOC historical seed
2021-08-03,diesel,103,NOC historical seed
2021-08-03,kerosene,88,NOC historical seed
2021-08-03,lpg,1375,NOC historical seed
2021-08-03,petrol,118,NOC historical seed
2021-08-04,diesel,103,NOC historical seed
2021-08-04,kerosene,88,NOC historical seed
2021-08-04,lpg,1375,NOC historical seed
2021-08-04,petrol,118,NOC historical seed
2021-08-05,diesel,103,NOC historical seed
2021-08-05,kerosene,88,NOC historical seed
2021-08-05,lpg,1375,NOC historical seed
2021-08-05,petrol,118,NOC historical seed
2021-08-06,diesel,103,NOC historical seed
2021-08-06,kerosene,88,NOC historical seed
2021-08-06,lpg,1375,NOC historical seed
2021-08-06,petrol,118,NOC historical seed
2021-08-07,diesel,103,NOC historical seed
2021-08-07,kerosene,88,NOC historical seed
2021-08-07,lpg,1375,NOC historical seed
2021-08-07,petrol,118,NOC historical seed
2021-08-08,diesel,103,NOC historical seed
2021-08-08,kerosene,88,NOC historical seed
2021-08-08,lpg,1375,NOC historical seed
2021-08-08,petrol,118,NOC historical seed
2021-08-09,diesel,103,NOC historical seed
2021-08-09,kerosene,88,NOC historical seed
2021-08-09,lpg,1375,NOC historical seed
2021-08-09,petrol,118,NOC historical seed
2021-08-10,diesel,103,NOC historical seed
2021-08-10,kerosene,88,NOC historical seed
2021-08-10,lpg,1375,NOC historical seed
2021-08-10,petrol,118,NOC historical seed
2021-08-11,diesel,103,NOC historical seed
2021-08-11,kerosene,88,NOC historical seed
2021-08-11,lpg,1375,NOC historical seed
2021-08-11,petrol,118,NOC historical seed
2021-08-12,diesel,103,NOC historical seed
2021-08-12,kerosene,88,NOC historical seed
2021-08-12,lpg,1375,NOC historical seed
2021-08-12,petrol,118,NOC historical seed
2021-08-13,diesel,103,NOC historical seed
2021-08-13,kerosene,88,NOC historical seed
2021-08-13,lpg,1375,NOC historical seed
2021-08-13,petrol,118,NOC historical seed
2021-08-14,diesel,103,NOC historical seed
2021-08-14,kerosene,88,NOC historical seed
2021-08-14,lpg,1375,NOC historical seed
2021-08-14,petrol,118,NOC historical seed
2021-08-15,diesel,103,NOC historical seed
2021-08-15,kerosene,88,NOC historical seed
2021-08-15,lpg,1375,NOC historical seed
2021-08-15,petrol,118,NOC historical seed
2021-08-16,diesel,103,NOC historical seed
2021-08-16,kerosene,88,NOC historical seed
2021-08-16,lpg,1375,NOC historical seed
2021-08-16,petrol,118,NOC historical seed
2021-08-17,diesel,103,NOC historical seed
2021-08-17,kerosene,88,NOC historical seed
2021-08-17,lpg,1375,NOC historical seed
2021-08-17,petrol,118,NOC historical seed
2021-08-18,diesel,103,NOC historical seed
2021-08-18,kerosene,88,NOC historical seed
2021-08-18,lpg,1375,NOC historical seed
2021-08-18,petrol,118,NOC historical seed
2021-08-19,diesel,103,NOC historical seed
2021-08-19,kerosene,88,NOC historical seed
2021-08-19,lpg,1375,NOC historical seed
2021-08-19,petrol,118,NOC historical seed
2021-08-20,diesel,103,NOC historical seed
2021-08-20,kerosene,88,NOC historical seed
2021-08-20,lpg,1375,NOC historical seed
2021-08-20,petrol,118,NOC historical seed
2021-08-21,diesel,103,NOC historical seed
2021-08-21,kerosene,88,NOC historical seed
2021-08-21,lpg,1375,NOC historical seed
2021-08-21,petrol,118,NOC historical seed
2021-08-22,diesel,103,NOC historical seed
2021-08-22,kerosene,88,NOC historical seed
2021-08-22,lpg,1375,NOC historical seed
2021-08-22,petrol,118,NOC historical seed
2021-08-23,diesel,103,NOC historical seed
2021-08-23,kerosene,88,NOC historical seed
2021-08-23,lpg,1375,NOC historical seed
2021-08-23,petrol,118,NOC historical seed
2021-08-24,diesel,103,NOC historical seed
2021-08-24,kerosene,88,NOC historical seed
2021-08-24,lpg,1375,NOC historical seed
2021-08-24,petrol,118,NOC historical seed
2021-08-25,diesel,103,NOC historical seed
2021-08-25,kerosene,88,NOC historical seed
2021-08-25,lpg,1375,NOC historical seed
2021-08-25,petrol,118,NOC historical seed
2021-08-26,diesel,103,NOC historical seed
2021-08-26,kerosene,88,NOC historical seed
2021-08-26,lpg,1375,NOC historical seed
2021-08-26,petrol,118,NOC historical seed
2021-08-27,diesel,103,NOC historical seed
2021-08-27,kerosene,88,NOC historical seed
2021-08-27,lpg,1375,NOC historical seed
2021-08-27,petrol,118,NOC historical seed
2021-08-28,diesel,103,NOC historical seed
2021-08-28,kerosene,88,NOC historical seed
2021-08-28,lpg,1375,NOC historical seed
2021-08-28,petrol,118,NOC historical seed
2021-08-29,diesel,103,NOC historical seed
2021-08-29,kerosene,88,NOC historical seed
2021-08-29,lpg,1375,NOC historical seed
2021-08-29,petrol,118,NOC historical seed
2021-08-30,diesel,103,NOC historical seed
2021-08-30,kerosene,88,NOC historical seed
2021-08-30,lpg,1375,NOC historical seed
2021-08-30,petrol,118,NOC historical seed
2021-08-31,diesel,103,NOC historical seed
2021-08-31,kerosene,88,NOC historical seed
2021-08-31,lpg,1375,NOC historical seed
2021-08-31,petrol,118,NOC historical seed
2021-09-01,diesel,103,NOC historical seed
2021-09-01,kerosene,88,NOC historical seed
2021-09-01,lpg,1375,NOC historical seed
2021-09-01,petrol,118,NOC historical seed
2021-09-02,diesel,103,NOC historical seed
2021-09-02,kerosene,88,NOC historical seed
2021-09-02,lpg,1375,NOC historical seed
2021-09-02,petrol,118,NOC historical seed
2021-09-03,diesel,103,NOC historical seed
2021-09-03,kerosene,88,NOC historical seed
2021-09-03,lpg,1375,NOC historical seed
2021-09-03,petrol,118,NOC historical seed
2021-09-04,diesel,103,NOC historical seed
2021-09-04,kerosene,88,NOC historical seed
2021-09-04,lpg,1375,NOC historical seed
2021-09-04,petrol,118,NOC historical seed
2021-09-05,diesel,103,NOC historical seed
2021-09-05,kerosene,88,NOC historical seed
2021-09-05,lpg,1375,NOC historical seed
2021-09-05,petrol,118,NOC historical seed
2021-09-06,diesel,103,NOC historical seed
2021-09-06,kerosene,88,NOC historical seed
2021-09-06,lpg,1375,NOC historical seed
2021-09-06,petrol,118,NOC historical seed
2021-09-07,diesel,103,NOC historical seed
2021-09-07,kerosene,88,NOC historical seed
2021-09-07,lpg,1375,NOC historical seed
2021-09-07,petrol,118,NOC historical seed
2021-09-08,diesel,103,NOC historical seed
2021-09-08,kerosene,88,NOC historical seed
2021-09-08,lpg,1375,NOC historical seed
2021-09-08,petrol,118,NOC historical seed
2021-09-09,diesel,103,NOC historical seed
2021-09-09,kerosene,88,NOC historical seed
2021-09-09,lpg,1375,NOC historical seed
2021-09-09,petrol,118,NOC historical seed
2021-09-10,diesel,103,NOC historical seed
2021-09-10,kerosene,88,NOC historical seed
2021-09-10,lpg,1375,NOC historical seed
2021-09-10,petrol,118,NOC historical seed
2021-09-11,diesel,103,NOC historical seed
2021-09-11,kerosene,88,NOC historical seed
2021-09-11,lpg,1375,NOC historical seed
2021-09-11,petrol,118,NOC historical seed
2021-09-12,diesel,103,NOC historical seed
2021-09-12,kerosene,88,NOC historical seed
2021-09-12,lpg,1375,NOC historical seed
2021-09-12,petrol,118,NOC historical seed
2021-09-13,diesel,103,NOC historical seed
2021-09-13,kerosene,88,NOC historical seed
2021-09-13,lpg,1375,NOC historical seed
2021-09-13,petrol,118,NOC historical seed
2021-09-14,diesel,103,NOC historical seed
2021-09-14,kerosene,88,NOC historical seed
2021-09-14,lpg,1375,NOC historical seed
2021-09-14,petrol,118,NOC historical seed
2021-09-15,diesel,103,NOC historical seed
2021-09-15,kerosene,88,NOC historical seed
2021-09-15,lpg,1375,NOC historical seed
2021-09-15,petrol,118,NOC historical seed
2021-09-16,diesel,103,NOC historical seed
2021-09-16,kerosene,88,NOC historical seed
2021-09-16,lpg,1375,NOC historical seed
2021-09-16,petrol,118,NOC historical seed
2021-09-17,diesel,103,NOC historical seed
2021-09-17,kerosene,88,NOC historical seed
2021-09-17,lpg,1375,NOC historical seed
2021-09-17,petrol,118,NOC historical seed
2021-09-18,diesel,103,NOC historical seed
2021-09-18,kerosene,88,NOC historical seed
2021-09-18,lpg,1375,NOC historical seed
2021-09-18,petrol,118,NOC historical seed
2021-09-19,diesel,103,NOC historical seed
2021-09-19,kerosene,88,NOC historical seed
2021-09-19,lpg,1375,NOC historical seed
2021-09-19,petrol,118,NOC historical seed
2021-09-20,diesel,103,NOC historical seed
2021-09-20,kerosene,88,NOC historical seed
2021-09-20,lpg,1375,NOC historical seed
2021-09-20,petrol,118,NOC historical seed
2021-09-21,diesel,103,NOC historical seed
2021-09-21,kerosene,88,NOC historical seed
2021-09-21,lpg,1375,NOC historical seed
2021-09-21,petrol,118,NOC historical seed
2021-09-22,diesel,103,NOC historical seed
2021-09-22,kerosene,88,NOC historical seed
2021-09-22,lpg,1375,NOC historical seed
2021-09-22,petrol,118,NOC historical seed
2021-09-23,diesel,103,NOC historical seed
2021-09-23,kerosene,88,NOC historical seed
2021-09-23,lpg,1375,NOC historical seed
2021-09-23,petrol,118,NOC historical seed
2021-09-24,diesel,103,NOC historical seed
2021-09-24,kerosene,88,NOC historical seed
2021-09-24,lpg,1375,NOC historical seed
2021-09-24,petrol,118,NOC historical seed
2021-09-25,diesel,103,NOC historical seed
2021-09-25,kerosene,88,NOC historical seed
2021-09-25,lpg,1375,NOC historical seed
2021-09-25,petrol,118,NOC historical seed
2021-09-26,diesel,103,NOC historical seed
2021-09-26,kerosene,88,NOC historical seed
2021-09-26,lpg,1375,NOC historical seed
2021-09-26,petrol,118,NOC historical seed
2021-09-27,diesel,103,NOC historical seed
2021-09-27,kerosene,88,NOC historical seed
2021-09-27,lpg,1375,NOC historical seed
2021-09-27,petrol,118,NOC historical seed
2021-09-28,diesel,103,NOC historical seed
2021-09-28,kerosene,88,NOC historical seed
2021-09-28,lpg,1375,NOC historical seed
2021-09-28,petrol,118,NOC historical seed
2021-09-29,diesel,103,NOC historical seed
2021-09-29,kerosene,88,NOC historical seed
2021-09-29,lpg,1375,NOC historical seed
2021-09-29,petrol,118,NOC historical seed
2021-09-30,diesel,103,NOC historical seed
2021-09-30,kerosene,88,NOC historical seed
2021-09-30,lpg,1375,NOC historical seed
2021-09-30,petrol,118,NOC historical seed
2021-10-01,diesel,112,NOC historical seed
2021-10-01,kerosene,96,NOC historical seed
2021-10-01,lpg,1450,NOC historical seed
2021-10-01,petrol,130,NOC historical seed
2021-10-02,diesel,112,NOC historical seed
2021-10-02,kerosene,96,NOC historical seed
2021-10-02,lpg,1450,NOC historical seed
2021-10-02,petrol,130,NOC historical seed
2021-10-03,diesel,112,NOC historical seed
2021-10-03,kerosene,96,NOC historical seed
2021-10-03,lpg,1450,NOC historical seed
2021-10-03,petrol,130,NOC historical seed
2021-10-04,diesel,112,NOC historical seed
2021-10-04,kerosene,96,NOC historical seed
2021-10-04,lpg,1450,NOC historical seed
2021-10-04,petrol,130,NOC historical seed
2021-10-05,diesel,112,NOC historical seed
2021-10-05,kerosene,96,NOC historical seed
2021-10-05,lpg,1450,NOC historical seed
2021-10-05,petrol,130,NOC historical seed
2021-10-06,diesel,112,NOC historical seed
2021-10-06,kerosene,96,NOC historical seed
2021-10-06,lpg,1450,NOC historical seed
2021-10-06,petrol,130,NOC historical seed
2021-10-07,diesel,112,NOC historical seed
2021-10-07,kerosene,96,NOC historical seed
2021-10-07,lpg,1450,NOC historical seed
2021-10-07,petrol,130,NOC historical seed
2021-10-08,diesel,112,NOC historical seed
2021-10-08,kerosene,96,NOC historical seed
2021-10-08,lpg,1450,NOC historical seed
2021-10-08,petrol,130,NOC historical seed
2021-10-09,diesel,112,NOC historical seed
2021-10-09,kerosene,96,NOC historical seed
2021-10-09,lpg,1450,NOC historical seed
2021-10-09,petrol,130,NOC historical seed
2021-10-10,diesel,112,NOC historical seed
2021-10-10,kerosene,96,NOC historical seed
2021-10-10,lpg,1450,NOC historical seed
2021-10-10,petrol,130,NOC historical seed
2021-10-11,diesel,112,NOC historical seed
2021-10-11,kerosene,96,NOC historical seed
2021-10-11,lpg,1450,NOC historical seed
2021-10-11,petrol,130,NOC historical seed
2021-10-12,diesel,112,NOC historical seed
2021-10-12,kerosene,96,NOC historical seed
2021-10-12,lpg,1450,NOC historical seed
2021-10-12,petrol,130,NOC historical seed
2021-10-13,diesel,112,NOC historical seed
2021-10-13,kerosene,96,NOC historical seed
2021-10-13,lpg,1450,NOC historical seed
2021-10-13,petrol,130,NOC historical seed
2021-10-14,diesel,112,NOC historical seed
2021-10-14,kerosene,96,NOC historical seed
2021-10-14,lpg,1450,NOC historical seed
2021-10-14,petrol,130,NOC historical seed
2021-10-15,diesel,112,NOC historical seed
2021-10-15,kerosene,96,NOC historical seed
2021-10-15,lpg,1450,NOC historical seed
2021-10-15,petrol,130,NOC historical seed
2021-10-16,diesel,112,NOC historical seed
2021-10-16,kerosene,96,NOC historical seed
2021-10-16,lpg,1450,NOC historical seed
2021-10-16,petrol,130,NOC historical seed
2021-10-17,diesel,112,NOC historical seed
2021-10-17,kerosene,96,NOC historical seed
2021-10-17,lpg,1450,NOC historical seed
2021-10-17,petrol,130,NOC historical seed
2021-10-18,diesel,112,NOC historical seed
2021-10-18,kerosene,96,NOC historical seed
2021-10-18,lpg,1450,NOC historical seed
2021-10-18,petrol,130,NOC historical seed
2021-10-19,diesel,112,NOC historical seed
2021-10-19,kerosene,96,NOC historical seed
2021-10-19,lpg,1450,NOC historical seed
2021-10-19,petrol,130,NOC historical seed
2021-10-20,diesel,112,NOC historical seed
2021-10-20,kerosene,96,NOC historical seed
2021-10-20,lpg,1450,NOC historical seed
2021-10-20,petrol,130,NOC historical seed
2021-10-21,diesel,112,NOC historical seed
2021-10-21,kerosene,96,NOC historical seed
2021-10-21,lpg,1450,NOC historical seed
2021-10-21,petrol,130,NOC historical seed
2021-10-22,diesel,112,NOC historical seed
2021-10-22,kerosene,96,NOC historical seed
2021-10-22,lpg,1450,NOC historical seed
2021-10-22,petrol,130,NOC historical seed
2021-10-23,diesel,112,NOC historical seed
2021-10-23,kerosene,96,NOC historical seed
2021-10-23,lpg,1450,NOC historical seed
2021-10-23,petrol,130,NOC historical seed
2021-10-24,diesel,112,NOC historical seed
2021-10-24,kerosene,96,NOC historical seed
2021-10-24,lpg,1450,NOC historical seed
2021-10-24,petrol,130,NOC historical seed
2021-10-25,diesel,112,NOC historical seed
2021-10-25,kerosene,96,NOC historical seed
2021-10-25,lpg,1450,NOC historical seed
2021-10-25,petrol,130,NOC historical seed
2021-10-26,diesel,112,NOC historical seed
2021-10-26,kerosene,96,NOC historical seed
2021-10-26,lpg,1450,NOC historical seed
2021-10-26,petrol,130,NOC historical seed
2021-10-27,diesel,112,NOC historical seed
2021-10-27,kerosene,96,NOC historical seed
2021-10-27,lpg,1450,NOC historical seed
2021-10-27,petrol,130,NOC historical seed
2021-10-28,diesel,112,NOC historical seed
2021-10-28,kerosene,96,NOC historical seed
2021-10-28,lpg,1450,NOC historical seed
2021-10-28,petrol,130,NOC historical seed
2021-10-29,diesel,112,NOC historical seed
2021-10-29,kerosene,96,NOC historical seed
2021-10-29,lpg,1450,NOC historical seed
2021-10-29,petrol,130,NOC historical seed
2021-10-30,diesel,112,NOC historical seed
2021-10-30,kerosene,96,NOC historical seed
2021-10-30,lpg,1450,NOC historical seed
2021-10-30,petrol,130,NOC historical seed
2021-10-31,diesel,112,NOC historical seed
2021-10-31,kerosene,96,NOC historical seed
2021-10-31,lpg,1450,NOC historical seed
2021-10-31,petrol,130,NOC historical seed
2021-11-01,diesel,112,NOC historical seed
2021-11-01,kerosene,96,NOC historical seed
2021-11-01,lpg,1450,NOC historical seed
2021-11-01,petrol,130,NOC historical seed
2021-11-02,diesel,112,NOC historical seed
2021-11-02,kerosene,96,NOC historical seed
2021-11-02,lpg,1450,NOC historical seed
2021-11-02,petrol,130,NOC historical seed
2021-11-03,diesel,112,NOC historical seed
2021-11-03,kerosene,96,NOC historical seed
2021-11-03,lpg,1450,NOC historical seed
2021-11-03,petrol,130,NOC historical seed
2021-11-04,diesel,112,NOC historical seed
2021-11-04,kerosene,96,NOC historical seed
2021-11-04,lpg,1450,NOC historical seed
2021-11-04,petrol,130,NOC historical seed
2021-11-05,diesel,112,NOC historical seed
2021-11-05,kerosene,96,NOC historical seed
2021-11-05,lpg,1450,NOC historical seed
2021-11-05,petrol,130,NOC historical seed
2021-11-06,diesel,112,NOC historical seed
2021-11-06,kerosene,96,NOC historical seed
2021-11-06,lpg,1450,NOC historical seed
2021-11-06,petrol,130,NOC historical seed
2021-11-07,diesel,112,NOC historical seed
2021-11-07,kerosene,96,NOC historical seed
2021-11-07,lpg,1450,NOC historical seed
2021-11-07,petrol,130,NOC historical seed
2021-11-08,diesel,112,NOC historical seed
2021-11-08,kerosene,96,NOC historical seed
2021-11-08,lpg,1450,NOC historical seed
2021-11-08,petrol,130,NOC historical seed
2021-11-09,diesel,112,NOC historical seed
2021-11-09,kerosene,96,NOC historical seed
2021-11-09,lpg,1450,NOC historical seed
2021-11-09,petrol,130,NOC historical seed
2021-11-10,diesel,112,NOC historical seed
2021-11-10,kerosene,96,NOC historical seed
2021-11-10,lpg,1450,NOC historical seed
2021-11-10,petrol,130,NOC historical seed
2021-11-11,diesel,112,NOC historical seed
